timestamp,price,volume
2024-05-23 16:04:50.213,-9.475715338117881,23812397.323846936
2024-05-23 17:02:45.662,-9.602257067671072,23491375.87383248
2024-05-23 18:05:15.278,-9.805562778222125,28218467.458962753
2024-05-23 19:05:24.006,-9.791097898096812,27937429.83648728
2024-05-23 20:04:39.952,-9.766443984955464,27279715.37068319
2024-05-23 21:03:09.649,-10.086029766491771,28922811.454076834
2024-05-23 22:03:27.780,-9.941274275353312,29942880.181218628
2024-05-23 23:02:57.713,-9.774667550040006,31548702.704371117
2024-05-24 00:03:04.853,-9.871313112999497,28516893.76714719
2024-05-24 01:02:58.506,-9.871913621126259,27771127.3667276
2024-05-24 02:03:34.073,-9.80554439256921,26703369.257558774
2024-05-24 03:02:59.881,-9.651371475466497,25623972.394044172
2024-05-24 04:02:56.753,-9.660670765715825,27315899.456169434
2024-05-24 05:02:59.122,-9.602944403534948,26371773.523569617
2024-05-24 06:03:21.828,-9.705196201804018,25130364.032757375
2024-05-24 07:03:44.369,-9.812841438833425,24973039.34878798
2024-05-24 08:03:01.164,-9.836774281792389,24368355.48726723
2024-05-24 09:02:26.324,-9.837970552492317,23317810.764813665
2024-05-24 10:00:49.871,-9.843685057573884,16132059.770376567
2024-05-24 11:04:33.204,-9.681744158859393,24058376.209654097
2024-05-24 12:02:01.408,-9.716888480612864,24866309.6608291
2024-05-24 13:03:01.587,-9.688044241182759,23539311.057409912
2024-05-24 14:02:53.979,-9.372656299048536,25595509.73823137
2024-05-24 15:09:16.256,-9.285972229502855,29518128.639433194
2024-05-24 16:08:05.293,-9.385140749289262,30366751.8232586
2024-05-24 17:00:19.866,-9.29418197261548,28199241.602434937
2024-05-24 18:04:02.275,-9.250334058073946,28720992.43407948
2024-05-24 19:06:05.386,-9.178793138912768,8166094.380935632
2024-05-24 20:07:00.023,-9.16184522841931,29214664.04257035
2024-05-24 21:07:11.984,-9.3258788932579,26761502.452321738
2024-05-24 22:04:23.941,-9.268326363473411,25107339.73486529
2024-05-24 23:07:57.602,-9.372101578692538,25775818.130555768
2024-05-25 00:01:24.026,-9.340726059738264,24657712.071596347
2024-05-25 01:03:26.951,-9.339068467825143,25007078.353201073
2024-05-25 02:08:08.300,-9.234222870113989,25240840.683596656
2024-05-25 03:05:27.326,-9.00932037507997,35964659.9015317
2024-05-25 04:06:03.351,-8.951768404352153,35957083.02846393
2024-05-25 05:06:42.082,-8.965857267870819,39532847.22000076
2024-05-25 06:07:18.544,-8.926970264989254,41576873.06119633
2024-05-25 07:01:01.032,-9.020486442782696,41109518.620104834
2024-05-25 08:07:31.759,-8.970774448542189,41454215.72483055
2024-05-25 09:01:57.665,-8.956340293928553,43178278.92443006
2024-05-25 10:02:24.617,-8.956932801177153,44412741.8945111
2024-05-25 11:06:17.121,-8.994766224549156,44463708.1661022
2024-05-25 12:06:41.300,-8.992491987605124,45709888.99891201
2024-05-25 13:02:00.180,-9.010296607211167,46028606.77091352
2024-05-25 14:03:30.026,-8.897133675393528,45547218.78144346
2024-05-25 15:03:53.751,-8.745771552750162,47455173.97733102
2024-05-25 15:04:45.000,-8.740349783479896,48156954.072901934
