timestamp,price,volume,market_cap,crypto,price_change,volume_change,market_cap_change,ma_10,ma_50,ma_200,ma_diff,std_10,std_50,momentum,volatility,rsi,macd
2024-05-11 11:00:45.945,60779.448381933005,24758518103.23818,1197292732640.4739,bitcoin,-0.0008322668933227195,0.3151170198208244,-0.0006266273635234798,60857.930616157246,61765.999227120235,62622.76214607139,-908.0686109629896,96.20019356841239,1000.1744060758066,-175.4828238511327,0.0027043559045284425,40.00084437295306,-295.3943308430971
2024-05-11 12:03:23.866,60667.309335915634,21797953174.324024,1194673994774.8096,bitcoin,-0.0018450158565556096,-0.11957763047728376,-0.0021872160368743288,60838.564326405,61756.07611611403,62627.425118317224,-917.5117897090313,113.46413258089069,1008.6993213566357,-373.5491830391693,0.0027215243886929796,38.069204060129955,-292.5930551575657
2024-05-11 13:04:16.124,60702.5334999328,20748262990.46905,1195651125069.4915,bitcoin,0.0005806119375120211,-0.04815544723214704,0.0008179053858672347,60821.74849082264,61752.096210881806,62633.05399900584,-930.347720059166,120.4212369541822,1012.5251380601876,-146.15559608122567,0.0024716053833110925,39.06459870058503,-284.2540248822552
2024-05-11 14:03:52.016,60940.46699084769,24189296075.678623,1200338040510.16,bitcoin,0.003919663269329021,0.16584680302106491,0.003919969079940522,60845.284761550676,61750.186129527545,62640.16806400281,-904.9013679768686,118.0678333983061,1013.9926633139706,110.39175117437844,0.0020187993048806463,45.443352982502056,-255.50078507925355
2024-05-11 15:05:40.531,60833.80262669601,17727052731.49006,1198127916328.6987,bitcoin,-0.00175030434485679,-0.26715301362928434,-0.0018412514698957771,60851.128987544194,61736.84967836645,62648.01890284403,-885.7206908222579,115.64360394946573,1021.6978661402204,54.3542447630025,0.0020014847739838852,43.257235900071606,-238.5704663046199
2024-05-11 16:05:23.057,61158.04125484788,19846265197.255466,1205984359401.2554,bitcoin,0.0053299089347012,0.11954680215966595,0.006557265685479097,60875.615615059934,61737.06891943116,62657.99320938574,-861.453304371229,150.81647184534393,1021.5698955843947,490.7319189322443,0.0023804413163308756,50.97744526267392,-196.72203007529606
2024-05-11 17:02:52.913,61133.63821230689,12153047832.85957,1204556510908.0266,bitcoin,-0.000399016090775306,-0.38764056047481366,-0.0011839693293681508,60893.486315712216,61732.53078110111,62667.28958579102,-839.0444653888917,170.55515626558073,1023.7782788207405,431.10471237409365,0.002262248161027108,50.42141614282848,-163.63962867296505
2024-05-11 18:06:11.792,61094.52353195651,16350276261.730171,1203285169008.3042,bitcoin,-0.0006398225509586242,0.34536426471737247,-0.0010554439648199354,60898.85281701238,61712.10439323623,62675.19813243203,-813.2515762238472,176.44985268833696,1026.1602634624714,154.05654110881733,0.002322022394295726,49.48963437825938,-138.97578864297975
2024-05-11 19:06:10.539,61201.346621722114,15419325946.615984,1205644389015.685,bitcoin,0.0017484887939216431,-0.056937895128609584,0.001960649119713942,60934.11856958319,61698.87416812089,62686.03790940318,-764.7555985377039,199.0980564007819,1028.43882453243,367.54399502610613,0.0026029973146407285,52.0934151360386,-109.54699754254398
2024-05-11 20:04:58.303,61111.8454324027,14709331303.431463,1203917418136.9526,bitcoin,-0.0014624055557570514,-0.04604576397454907,-0.001432404857075964,60962.295588856134,61682.689553676,62695.24473794101,-720.3939648198648,202.64438026612117,1031.2343139287675,-46.195822445180966,0.0026869242154765475,49.77809765521851,-92.38154956007202
2024-05-11 21:04:47.236,60980.74573990139,11571523093.587772,1201139273357.4812,bitcoin,-0.0021452419178916715,-0.21332092840356975,-0.002307587495303909,60982.42532465297,61658.41503904629,62696.749422892324,-675.9897143933194,192.1914404506481,1033.2246736365603,-152.8924724055032,0.002644744086316869,46.516767272869544,-88.3381506900405
2024-05-11 22:01:26.464,60911.590451048956,13730168832.667656,1199173864038.439,bitcoin,-0.0011340512158936056,0.18654810793888243,-0.0016362876167960172,61006.853436166304,61627.92775866642,62693.580499335054,-621.0743225001133,160.62036493336905,1032.302891889744,-182.93308090755454,0.0026350735188270928,44.84758422603956,-89.68020423946291
2024-05-11 23:07:30.509,60900.91217858448,13381541869.510046,1199352418448.159,bitcoin,-0.00017530772691043417,-0.025391309269856555,0.00014889784965688158,61026.69130403147,61593.19876587076,62689.90956139202,-566.50746183929,127.744376321729,1026.8448122655798,-300.4344431376303,0.0026288762394066933,44.5815668231225,-90.5615020689147
2024-05-12 00:04:59.614,60794.62996994819,13200390256.174112,1197102943502.2341,bitcoin,-0.0017451661204126445,-0.01353742454363116,-0.0018755746112018024,61012.10760194152,61558.65988594382,62684.82047403896,-546.5522840023041,145.73896682557154,1024.0205679244978,-317.21546245450736,0.0025419865464590815,41.91654523100846,-98.69829049239343
2024-05-12 01:03:39.015,60970.84425996559,9715278115.294588,1200950523656.6074,bitcoin,0.0028985173543207843,-0.2640158414444952,0.003214076262411325,61025.81176526848,61512.39015272399,62681.2140584896,-486.57838745550544,132.99564584821812,996.3487457173593,-9.901479935797397,0.0024747697776503906,47.518235236794084,-89.89151993398991
2024-05-12 02:02:59.682,60852.24431256182,12330362207.570942,1198959776940.267,bitcoin,-0.0019451911621575224,0.26917233467145674,-0.0016576425732168776,60995.23207103987,61468.12841924713,62676.10868213641,-472.8963482072577,134.3628677478208,974.8787740062238,-59.34613848713343,0.0024937488431106074,44.41359945558495,-91.42818815053033
2024-05-12 03:04:23.855,60918.92871490222,12829445140.990822,1200028718678.8792,bitcoin,0.001095841297124256,0.04047593452797682,0.000891557631182538,60973.76112129941,61429.992008110676,62671.57837584877,-456.2308868112668,126.7264540718551,957.833537791995,18.01653631773661,0.002493330055135048,46.52900234204162,-86.27066034829477
2024-05-12 04:02:56.714,60899.8805263828,12812373357.481382,1199556152306.179,bitcoin,-0.00031268095026038,-0.0013306720066087463,-0.0003937958861688351,60954.29682074204,61391.49564443383,62666.37114069051,-437.1988236917896,120.93273611129354,939.13249284947,105.25055643461383,0.0024611264605294406,45.99059904911934,-82.76623439825926
